Financial Year,Reporting Period,Activity Month,Breakdown,CCG code,CCG name,Provider code,Provider name,Specific acute specialties: Ordinary Elective,Specific acute specialties: Daycase Elective,Specific acute specialties: Elective total,Specific acute specialties: Non-Elective,Specific acute specialties: First attendances seen - GP referrals,Specific acute specialties: First attendances seen - other referrals,Specific acute specialties: First attendances seen total,Specific acute specialties: First attendances DNA,Specific acute specialties: Subsequent attendances seen,Specific acute specialties: Subsequent attendances DNA,All specialties: Ordinary Elective,All specialties: Daycase Elective,All specialties: Elective total,All specialties: Non-Elective,All specialties: First attendances seen - GP referrals,All specialties: First attendances seen - other referrals,All specialties: First attendances seen total,All specialties: First attendances DNA,All specialties: Subsequent attendances seen,All specialties: Subsequent attendances DNA
2025-26,13,Jul 2025,CCGProv,D2P2L,NHS BLACK COUNTRY ICB - D2P2L,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0
2025-26,13,Jul 2025,CCGProv,D4U1Y,NHS FRIMLEY ICB - D4U1Y,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,*,*,*,0,*,*,0,*,0,0,*,*,*,0,*,*,0,*,*
2025-26,13,Jul 2025,CCGProv,D4U1Y,NHS FRIMLEY ICB - D4U1Y,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,*,*,*,*,0,0,0,0,*,0,*,*,*,*,0
2025-26,13,Jul 2025,CCGProv,D9Y0V,NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,*,0,*,*,*,10,*,0,0,0,*,0,*,*,*,10,*
2025-26,13,Jul 2025,CCGProv,D9Y0V,NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,*,*,*,0,*,*,*,*,0,0,*,*,*,0,*,*,*,10,0
2025-26,13,Jul 2025,CCGProv,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB - M1J4Y",RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,*,0,*,*,0,*,0,0,0,0,*,0,*,*,0,*,0
2025-26,13,Jul 2025,CCGProv,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB - M1J4Y",RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,*,*,0,*,0,0,0,0,*,0,*,*,0,*,0
2025-26,13,Jul 2025,CCGProv,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN ICB - M2L0M",RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,*,0,0,0,*,*,0,0,0,0,*,0,*,*,*,*,0
2025-26,13,Jul 2025,CCGProv,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN ICB - M2L0M",RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,*,*,*,*,0,0,0,0,*,0,*,*,*,*,0
2025-26,13,Jul 2025,CCGProv,W2U3Z,NHS NORTH WEST LONDON ICB - W2U3Z,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,*,*,*,*,*,10,15,*,15,*,*,*,*,*,*,10,20,*,25,*
2025-26,13,Jul 2025,CCGProv,W2U3Z,NHS NORTH WEST LONDON ICB - W2U3Z,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,*,*,*,*,*,*,0,*,*,0,*,*,*,*,*,10,0,10,*
2025-26,13,Aug 2025,CCGProv,00P,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0
2025-26,13,Aug 2025,CCGProv,00X,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,*,0,*,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0
2025-26,13,Aug 2025,CCGProv,00Y,NHS GREATER MANCHESTER ICB - 00Y,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0
